avg_x,avg_y,timestamp_sec,person_id,cluster,class,type,details
43977.63157894737,-20447.947368421053,2013-01-09 03:34:09,10340900,-1,MOVE,noise,before/after clustering
42973.51724137931,-20612.724137931036,2013-01-09 03:34:10,10340900,-1,MOVE,noise,before/after clustering
41740.86206896552,-20593.310344827583,2013-01-09 03:34:11,10340900,-1,MOVE,noise,before/after clustering
40261.28571428571,-19964.071428571428,2013-01-09 03:34:12,10340900,-1,MOVE,noise,before/after clustering
39032.310344827594,-19563.44827586207,2013-01-09 03:34:13,10340900,-1,MOVE,noise,before/after clustering
37777.89655172414,-19136.79310344828,2013-01-09 03:34:14,10340900,-1,MOVE,noise,before/after clustering
36394.571428571435,-18739.035714285717,2013-01-09 03:34:15,10340900,-1,MOVE,noise,before/after clustering
35098.51851851852,-18538.888888888887,2013-01-09 03:34:16,10340900,-1,MOVE,noise,before/after clustering
34091.82142857143,-18402.821428571428,2013-01-09 03:34:17,10340900,-1,MOVE,noise,before/after clustering
32582.214285714286,-18612.107142857145,2013-01-09 03:34:18,10340900,-1,MOVE,noise,before/after clustering
31188.222222222223,-18108.703703703704,2013-01-09 03:34:19,10340900,-1,MOVE,noise,before/after clustering
29881.107142857145,-17671.035714285714,2013-01-09 03:34:20,10340900,-1,MOVE,noise,before/after clustering
28772.111111111113,-17356.037037037036,2013-01-09 03:34:21,10340900,-1,MOVE,noise,before/after clustering
27599.607142857145,-17207.214285714286,2013-01-09 03:34:22,10340900,-1,MOVE,noise,before/after clustering
26502.592592592595,-17262.0,2013-01-09 03:34:23,10340900,-1,MOVE,noise,before/after clustering
25383.535714285717,-16831.0,2013-01-09 03:34:24,10340900,-1,MOVE,noise,before/after clustering
24232.17857142857,-16339.0,2013-01-09 03:34:25,10340900,-1,MOVE,noise,before/after clustering
23368.5,-15829.321428571428,2013-01-09 03:34:26,10340900,-1,MOVE,noise,before/after clustering
22352.214285714286,-15357.214285714286,2013-01-09 03:34:27,10340900,-1,MOVE,noise,before/after clustering
21326.285714285717,-14831.678571428572,2013-01-09 03:34:28,10340900,-1,MOVE,noise,before/after clustering
20388.285714285717,-14392.892857142857,2013-01-09 03:34:29,10340900,-1,MOVE,noise,before/after clustering
19478.0,-13869.0,2013-01-09 03:34:30,10340900,-1,MOVE,noise,before/after clustering
18778.821428571428,-13323.785714285714,2013-01-09 03:34:31,10340900,-1,MOVE,noise,before/after clustering
17943.857142857145,-12583.964285714286,2013-01-09 03:34:32,10340900,-1,MOVE,noise,before/after clustering
16663.296296296296,-11697.48148148148,2013-01-09 03:34:33,10340900,-1,MOVE,noise,before/after clustering
15743.51724137931,-10772.724137931034,2013-01-09 03:34:34,10340900,-1,MOVE,noise,before/after clustering
14943.0,-9592.178571428572,2013-01-09 03:34:35,10340900,-1,MOVE,noise,before/after clustering
14388.857142857143,-8720.285714285714,2013-01-09 03:34:36,10340900,-1,MOVE,noise,before/after clustering
13560.5,-7749.035714285714,2013-01-09 03:34:37,10340900,-1,MOVE,noise,before/after clustering
12804.827586206897,-7021.344827586207,2013-01-09 03:34:38,10340900,-1,MOVE,noise,before/after clustering
11949.035714285714,-6066.5,2013-01-09 03:34:39,10340900,-1,MOVE,noise,before/after clustering
11084.862068965516,-5067.448275862069,2013-01-09 03:34:40,10340900,-1,MOVE,noise,before/after clustering
10147.0,-4291.035714285714,2013-01-09 03:34:41,10340900,-1,MOVE,noise,before/after clustering
9250.75,-3522.0714285714284,2013-01-09 03:34:42,10340900,-1,MOVE,noise,before/after clustering
8408.0,-2765.260869565217,2013-01-09 03:34:43,10340900,-1,MOVE,noise,before/after clustering
7295.142857142858,-1910.7142857142856,2013-01-09 03:34:44,10340900,-1,MOVE,noise,before/after clustering
6377.133333333333,-1001.4666666666666,2013-01-09 03:34:45,10340900,-1,MOVE,noise,before/after clustering
5459.793103448276,-275.6896551724138,2013-01-09 03:34:46,10340900,-1,MOVE,noise,before/after clustering
4507.172413793104,525.8275862068965,2013-01-09 03:34:47,10340900,-1,MOVE,noise,before/after clustering
3473.214285714286,1133.5714285714284,2013-01-09 03:34:48,10340900,-1,MOVE,noise,before/after clustering
2321.3793103448274,1664.7931034482758,2013-01-09 03:34:49,10340900,-1,MOVE,noise,before/after clustering
1302.9655172413793,1999.9310344827584,2013-01-09 03:34:50,10340900,-1,MOVE,noise,before/after clustering
231.17241379310343,2088.448275862069,2013-01-09 03:34:51,10340900,-1,MOVE,noise,before/after clustering
-913.6428571428572,1716.5,2013-01-09 03:34:52,10340900,-1,MOVE,noise,before/after clustering
-1827.6206896551723,1110.206896551724,2013-01-09 03:34:53,10340900,-1,MOVE,noise,before/after clustering
-2815.206896551724,397.2758620689655,2013-01-09 03:34:54,10340900,-1,MOVE,noise,before/after clustering
-3398.8620689655168,-609.1379310344828,2013-01-09 03:34:55,10340900,-1,MOVE,noise,before/after clustering
-3770.2758620689656,-1451.7586206896551,2013-01-09 03:34:56,10340900,-1,MOVE,noise,before/after clustering
-4737.620689655173,-2334.8620689655168,2013-01-09 03:34:57,10340900,-1,MOVE,noise,before/after clustering
-5420.466666666666,-2995.2666666666664,2013-01-09 03:34:58,10340900,-1,MOVE,noise,before/after clustering
-6212.033333333333,-3868.0666666666666,2013-01-09 03:34:59,10340900,-1,MOVE,noise,before/after clustering
-7074.966666666666,-4517.2,2013-01-09 03:35:00,10340900,-1,MOVE,noise,before/after clustering
-7846.709677419353,-5290.129032258064,2013-01-09 03:35:01,10340900,-1,MOVE,noise,before/after clustering
-8507.033333333333,-6132.733333333333,2013-01-09 03:35:02,10340900,-1,MOVE,noise,before/after clustering
-9079.233333333332,-6944.6,2013-01-09 03:35:03,10340900,1,STOP_1,cluster,cluster # 1
-9589.806451612903,-7669.935483870966,2013-01-09 03:35:04,10340900,1,STOP_1,cluster,cluster # 1
-10058.724137931034,-8159.413793103448,2013-01-09 03:35:05,10340900,1,STOP_1,cluster,cluster # 1
-10117.896551724136,-8431.620689655172,2013-01-09 03:35:06,10340900,1,STOP_1,cluster,cluster # 1
-10205.285714285714,-8533.464285714284,2013-01-09 03:35:07,10340900,1,STOP_1,cluster,cluster # 1
-10318.25,-8632.42857142857,2013-01-09 03:35:08,10340900,1,STOP_1,cluster,cluster # 1
