avg_x,avg_y,timestamp_sec,person_id,cluster,class,type,details
-356.2,9392.4,2013-01-09 03:00:18,10001800,-1,MOVE,noise,before/after clustering
-1132.857142857143,8863.92857142857,2013-01-09 03:00:19,10001800,-1,MOVE,noise,before/after clustering
-2134.5185185185182,7998.185185185185,2013-01-09 03:00:20,10001800,-1,MOVE,noise,before/after clustering
-2882.9629629629626,6844.962962962963,2013-01-09 03:00:21,10001800,-1,MOVE,noise,before/after clustering
-3906.5357142857138,5825.821428571428,2013-01-09 03:00:22,10001800,-1,MOVE,noise,before/after clustering
-5148.333333333333,4769.962962962963,2013-01-09 03:00:23,10001800,-1,MOVE,noise,before/after clustering
-6505.428571428572,4030.464285714286,2013-01-09 03:00:24,10001800,-1,MOVE,noise,before/after clustering
-8082.629629629629,3881.0,2013-01-09 03:00:25,10001800,-1,MOVE,noise,before/after clustering
-9591.178571428572,3726.464285714286,2013-01-09 03:00:26,10001800,-1,MOVE,noise,before/after clustering
-11032.62962962963,3735.9259259259256,2013-01-09 03:00:27,10001800,-1,MOVE,noise,before/after clustering
-12382.333333333332,3674.4814814814818,2013-01-09 03:00:28,10001800,-1,MOVE,noise,before/after clustering
-14027.892857142857,3620.892857142857,2013-01-09 03:00:29,10001800,-1,MOVE,noise,before/after clustering
-15372.5,3396.1071428571427,2013-01-09 03:00:30,10001800,-1,MOVE,noise,before/after clustering
-16601.962962962964,3207.296296296296,2013-01-09 03:00:31,10001800,-1,MOVE,noise,before/after clustering
-17790.107142857145,3113.8214285714284,2013-01-09 03:00:32,10001800,-1,MOVE,noise,before/after clustering
-19059.333333333332,3171.1111111111113,2013-01-09 03:00:33,10001800,-1,MOVE,noise,before/after clustering
-20504.962962962964,3108.9629629629626,2013-01-09 03:00:34,10001800,-1,MOVE,noise,before/after clustering
-21703.259259259255,2785.5185185185182,2013-01-09 03:00:35,10001800,-1,MOVE,noise,before/after clustering
-23241.777777777777,2601.814814814815,2013-01-09 03:00:36,10001800,-1,MOVE,noise,before/after clustering
-24791.785714285717,1825.3214285714284,2013-01-09 03:00:37,10001800,-1,MOVE,noise,before/after clustering
-26079.777777777777,1513.4074074074074,2013-01-09 03:00:38,10001800,-1,MOVE,noise,before/after clustering
-27359.821428571428,1007.4285714285714,2013-01-09 03:00:39,10001800,-1,MOVE,noise,before/after clustering
-28533.888888888887,111.25925925925924,2013-01-09 03:00:40,10001800,-1,MOVE,noise,before/after clustering
-29418.74074074074,-712.5185185185185,2013-01-09 03:00:41,10001800,-1,MOVE,noise,before/after clustering
-29970.357142857145,-1626.0714285714284,2013-01-09 03:00:42,10001800,1,STOP_1,cluster,cluster # 1
-30513.703703703704,-2425.5925925925926,2013-01-09 03:00:43,10001800,1,STOP_1,cluster,cluster # 1
-30740.962962962964,-2687.4444444444443,2013-01-09 03:00:44,10001800,1,STOP_1,cluster,cluster # 1
-30784.25,-2676.3214285714284,2013-01-09 03:00:45,10001800,1,STOP_1,cluster,cluster # 1
-30843.464285714286,-2650.285714285714,2013-01-09 03:00:46,10001800,1,STOP_1,cluster,cluster # 1
-30843.962962962964,-2651.6296296296296,2013-01-09 03:00:47,10001800,1,STOP_1,cluster,cluster # 1
-30897.40740740741,-2656.6666666666665,2013-01-09 03:00:48,10001800,1,STOP_1,cluster,cluster # 1
-30930.571428571428,-2684.5,2013-01-09 03:00:49,10001800,1,STOP_1,cluster,cluster # 1
-30891.035714285717,-2605.0714285714284,2013-01-09 03:00:50,10001800,1,STOP_1,cluster,cluster # 1
-30812.03703703704,-2653.8888888888887,2013-01-09 03:00:51,10001800,1,STOP_1,cluster,cluster # 1
-31108.25,-3228.25,2013-01-09 03:00:52,10001800,1,STOP_1,cluster,cluster # 1
-31417.214285714286,-3891.5,2013-01-09 03:00:53,10001800,1,STOP_1,cluster,cluster # 1
-31714.571428571428,-4704.25,2013-01-09 03:00:54,10001800,-1,MOVE,noise,before/after clustering
-32087.241379310344,-5560.896551724138,2013-01-09 03:00:55,10001800,-1,MOVE,noise,before/after clustering
